coc_number,coc_name,year
MD-601,Montgomery County,2016
MD-513,"Wicomico, Somerset, Worcester Counties",2016
MD-512,Hagerstown/Washington County,2016
MA-506,Worcester City & County,2016
MA-504,Springfield/Hampden County,2016
MA-509,Cambridge,2016
MA-508,Lowell,2016
MA-500,Boston,2016
MA-516,Massachusetts Balance of State,2016
MA-507,"Pittsfield/Berkshire, Franklin, Hampshire Counties",2016
MA-510,"Gloucester, Haverhill, Salem/Essex County",2016
MA-505,New Bedford,2016
MA-599,"Ma-510, Ma-516 & Ma-518 Shared Jurisdiction",2016
MA-503,Cape Cod Islands,2016
MA-511,"Quincy, Brockton, Weymouth, Plymouth City And County",2016
MA-519,"Attleboro, Taunton/Bristol County",2016
MA-518,"Brookline, Newton",2016
MA-515,Fall River,2016
MA-502,Lynn,2016
MA-517,Somerville,2016
MI-514,Battle Creek/Calhoun County,2016
MI-513,"Marquette, Alger Counties",2016
MI-502,"Dearborn, Dearborn Heights, Westland/Wayne County",2016
MI-505,Flint/Genesee County,2016
MI-508,"Lansing, East Lansing/Ingham County",2016
MI-517,Jackson City & County,2016
MI-506,"Grand Rapids, Wyoming/Kent County",2016
MI-518,Livingston County,2016
MI-519,Holland/Ottawa County,2016
MI-501,Detroit,2016
MI-504,"Pontiac, Royal Oak/Oakland County",2016
MI-510,Saginaw City & County,2016
MI-507,"Portage, Kalamazoo City & County",2016
MI-503,"St. Clair Shores, Warren/Macomb County",2016
MI-516,"Norton Shores, Muskegon City & County",2016
MI-509,Washtenaw County,2016
MI-512,"Grand Traverse, Antrim, Leelanau Counties",2016
MI-515,Monroe City & County,2016
MI-523,Eaton County,2016
MI-511,Lenawee County,2016
MN-502,Rochester/Southeast Minnesota,2016
MN-509,Duluth/St. Louis County,2016
MN-505,St. Cloud/Central Minnesota,2016
MN-508,Moorhead/West Central Minnesota,2016
MN-506,Northwest Minnesota,2016
MN-500,Minneapolis/Hennepin County,2016
MN-501,St. Paul/Ramsey County,2016
MN-511,Southwest Minnesota,2016
MN-503,"Dakota, Anoka, Washington, Scott, Carver Counties",2016
MS-501,Mississippi Balance of State,2016
MS-503,Gulf Port/Gulf Coast Regional,2016
MS-500,"Jackson/Rankin, Madison Counties",2016
MO-606,Missouri Balance of State,2016
MO-501,St. Louis,2016
MO-500,St. Louis County,2016
MO-600,"Springfield/Greene, Christian, Webster Counties",2016
MO-602,"Joplin/Jasper, Newton Counties",2016
MO-503,"St. Charles City & County, Lincoln, Warren Counties",2016
MO-603,"St. Joseph/Andrew, Buchanan, Dekalb Counties",2016
MT-500,Montana Statewide,2016
NC-511,Fayetteville/Cumberland County,2016
NC-503,North Carolina Balance of State,2016
NC-502,Durham City & County,2016
NC-505,Charlotte/Mecklenburg County,2016
NC-509,Gaston/Lincoln/Cleveland,2016
NC-507,Raleigh/Wake County,2016
NC-516,Northwest North Carolina,2016
NC-501,Asheville/Buncombe County,2016
NC-506,"Wilmington/Brunswick, New Hanover, Pender Counties",2016
NC-513,Chapel Hill/Orange County,2016
NC-500,Winston-Salem/Forsyth County,2016
NC-504,"Greensboro, High Point",2016
ND-500,North Dakota Statewide,2016
NE-500,Nebraska Balance of State,2016
NE-501,"Omaha, Council Bluffs",2016
NE-502,Lincoln,2016
NH-500,New Hampshire Balance of State,2016
NH-501,Manchester,2016
NH-502,Nashua/Hillsborough County,2016
NJ-500,Atlantic City & County,2016
NJ-501,Bergen County,2016
NJ-502,Burlington County,2016
NJ-503,"Camden City & County/Gloucester, Cape May, Cumberland Counties",2016
NJ-504,Newark/Essex County,2016
NJ-506,"Jersey City, Bayonne/Hudson County",2016
NJ-507,New Brunswick/Middlesex County,2016
NJ-508,Monmouth County,2016
NJ-509,Morris County,2016
NJ-510,Lakewood Township/Ocean County,2016
