year,coc_number,hic_es_total_year_round_beds,hic_es_total_non_dv_year_round_beds,hic_es_total_hmis_year_round_beds,hic_es_total_seasonal_beds,hic_es_total_overflow_beds,hic_es_total_units_for_households_with_children,hic_es_total_beds_for_households_with_children,hic_es_total_beds_for_households_without_children,hic_th_total_year_round_beds,hic_th_total_non_dv_year_round_beds,hic_th_total_hmis_year_round_beds,hic_th_total_units_for_households_with_children,hic_th_total_beds_for_households_with_children,hic_th_total_beds_for_households_without_children,hic_psh_total_year_round_beds,hic_psh_total_non_dv_year_round_beds,hic_psh_total_hmis_year_round_beds,hic_psh_total_chronic_homeless_beds,hic_psh_total_units_for_households_with_children,hic_psh_total_beds_for_households_with_children,hic_psh_total_beds_for_households_without_children,hic_sh_total_year_round_beds,hic_sh_total_non_dv_year_round_beds,hic_sh_total_hmis_year_round_beds,hic_sh_total_beds_for_households_without_children,hic_es_total_beds_for_households_with_only_children,hic_th_total_beds_for_households_with_only_children,hic_sh_total_beds_for_households_with_only_children,hic_psh_total_beds_for_households_with_only_children,hic_rrh_total_year_round_beds,hic_rrh_total_non_dv_year_round_beds,hic_rrh_total_hmis_year_round_beds,hic_rrh_total_units_for_households_with_children,hic_rrh_total_beds_for_households_with_children,hic_rrh_total_beds_for_households_without_children,hic_rrh_total_beds_for_households_with_only_children,hic_sh_total_units_for_households_with_children,hic_sh_total_beds_for_households_with_children,hic_oph_total_year_round_beds,hic_oph_total_non_dv_year_round_beds,hic_oph_total_hmis_year_round_beds,hic_oph_total_units_for_households_with_children,hic_oph_total_beds_for_households_with_children,hic_oph_total_beds_for_households_without_children,hic_oph_total_beds_for_households_with_only_children,hic_es_dedicated_veteran_beds,hic_es_dedicated_youth_beds,hic_th_dedicated_veteran_beds,hic_th_dedicated_youth_beds,hic_sh_dedicated_veteran_beds,hic_sh_dedicated_youth_beds,hic_rrh_dedicated_veteran_beds,hic_rrh_dedicated_youth_beds,hic_psh_dedicated_veteran_beds,hic_psh_dedicated_youth_beds,hic_oph_dedicated_veteran_beds,hic_oph_dedicated_youth_beds
2010,MI-514,124,78,78,0,24,32,55,69,87,87,65,6,20,67,250,203,29,24,25,70,180,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,MI-514,124,78,78,0,0,21,84,40,83,83,56,6,20,63,342,321,171,44,8,93,249,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,MI-514,182,136,73,0,0,21,71,111,58,58,54,6,18,40,205,184,19,0,9,25,180,0,0,0,0,0,0,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,MI-514,123,77,77,0,19,21,75,48,131,131,104,6,18,111,210,189,24,0,9,27,183,0,0,0,0,0,2,false,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
2014,MI-514,123,77,77,0,19,21,75,48,151,151,104,26,38,111,306,285,26,,9,27,279,13,13,0,13,0,2,false,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2015,MI-514,147,91,77,0,19,24,81,66,83,83,70,6,18,63,306,285,26,,9,27,279,13,13,0,13,0,2,false,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2016,MI-514,148,92,78,0,19,24,81,67,76,76,63,6,17,57,149,149,0,,0,0,149,13,13,0,13,0,2,false,0,5,5,5,1,5,0,0,false,false,127,106,27,9,27,100,0,,,,,,,,,,,,
2017,MI-514,150,94,80,0,19,24,81,69,76,76,63,6,17,57,149,149,0,0,0,0,149,13,13,0,13,0,2,false,0,10,10,10,1,10,0,0,false,false,127,106,27,9,27,100,0,24,0,9,2,13,0,0,0,149,0,79,0
2018,MI-514,166,124,89,0,19,19,68,98,49,49,40,6,17,32,149,149,0,0,0,0,149,6,6,6,6,0,0,false,0,25,25,25,5,16,9,0,false,false,102,102,23,2,5,97,0,30,0,9,0,6,0,6,0,149,0,79,0
2007,MI-515,97,97,60,15,20,27,63,34,57,57,41,0,0,57,22,22,22,0,6,20,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,MI-515,97,82,60,15,0,27,63,34,80,80,64,10,23,57,22,22,22,0,6,20,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,MI-515,97,82,60,15,0,27,63,34,80,80,64,10,23,57,22,22,22,0,6,20,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,MI-515,97,82,60,15,0,27,63,34,80,80,64,10,23,57,22,22,22,0,6,20,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,MI-515,88,70,48,20,0,18,53,35,34,34,34,11,27,7,14,14,14,0,4,10,4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,MI-515,106,88,88,20,0,18,53,53,34,34,34,11,27,7,13,13,13,0,2,5,8,0,0,0,0,0,0,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,MI-515,105,87,67,20,0,18,48,57,71,71,5,0,0,71,13,13,13,0,2,5,8,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
2014,MI-515,85,67,67,40,0,29,52,33,119,119,119,9,35,84,27,27,27,,4,10,17,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2015,MI-515,85,67,67,40,0,29,52,33,119,119,119,9,35,84,16,16,4,,1,4,12,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2016,MI-515,91,73,73,46,0,30,54,37,119,119,83,9,35,84,24,24,7,,2,7,17,0,0,0,0,0,0,false,0,128,128,128,10,53,75,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2017,MI-515,86,68,68,60,0,30,49,37,119,119,83,9,35,84,33,33,33,23,6,20,13,0,0,0,0,0,0,false,0,119,119,119,10,44,75,0,false,false,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,2,0,0,0
2018,MI-515,151,133,133,0,0,40,66,85,107,107,71,9,23,84,34,34,34,24,6,20,14,0,0,0,0,0,0,false,0,131,131,131,18,51,80,0,false,false,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,1,0,0,0
2007,MI-516,152,152,152,256,0,3,68,84,102,77,102,28,78,24,90,90,90,0,0,0,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,MI-516,142,124,82,109,27,2,68,74,200,175,155,54,130,70,165,165,133,55,14,41,124,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,MI-516,148,130,88,135,27,3,82,66,254,160,140,65,190,64,326,326,269,18,53,144,182,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,MI-516,146,128,114,135,12,7,84,62,261,166,146,58,179,82,372,372,263,18,78,229,143,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,MI-516,122,104,104,135,10,7,84,38,365,270,270,78,229,136,349,349,313,18,57,169,180,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,MI-516,149,130,120,21,3,7,101,48,126,98,98,11,49,77,424,424,388,28,69,215,209,0,0,0,0,0,0,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,MI-516,151,131,131,0,0,6,96,48,137,137,137,15,43,94,435,435,376,28,79,241,194,0,0,0,0,7,0,false,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
2014,MI-516,154,131,131,0,0,6,99,48,93,93,93,4,21,72,480,480,421,,91,273,207,0,0,0,0,7,0,false,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2015,MI-516,141,118,118,0,21,6,73,61,44,44,44,6,20,24,193,193,120,,41,118,75,0,0,0,0,7,0,false,0,106,106,106,22,68,38,0,false,false,545,545,34,109,392,153,0,,,,,,,,,,,,
2016,MI-516,156,124,124,16,0,26,87,60,49,49,35,7,24,15,194,194,112,,44,113,81,0,0,0,0,9,10,false,0,66,66,66,13,42,24,0,false,false,639,639,0,132,470,169,0,,,,,,,,,,,,
2017,MI-516,127,106,106,16,0,25,68,59,17,17,17,5,17,0,229,229,146,67,48,130,99,0,0,0,0,0,0,false,0,87,87,87,14,45,42,0,false,false,663,663,0,132,469,194,0,0,0,0,17,0,0,8,0,88,0,0,0
2018,MI-516,149,128,128,30,0,32,90,59,17,17,17,5,17,0,167,167,104,62,38,100,67,0,0,0,0,0,0,false,0,89,89,89,14,45,44,0,false,false,760,760,88,155,534,226,0,0,0,0,17,0,0,11,0,77,0,0,0
2007,MI-517,103,84,77,0,0,7,64,39,223,175,163,43,208,15,40,40,40,0,9,29,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,MI-517,139,113,77,0,0,9,45,94,194,177,122,43,129,65,33,33,33,0,7,20,13,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,MI-517,139,113,113,0,0,25,61,78,159,142,117,41,126,33,30,30,30,0,7,17,13,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,MI-517,134,113,113,0,0,31,76,58,134,111,85,45,105,29,30,30,30,0,7,17,13,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,MI-517,120,90,64,0,0,15,67,53,261,217,8,47,141,120,34,34,34,0,9,23,11,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,MI-517,108,78,78,0,10,7,68,40,138,94,94,42,134,3,64,64,64,0,12,41,23,0,0,0,0,0,1,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,MI-517,108,78,78,0,10,7,68,40,108,96,96,29,99,8,63,63,45,0,20,48,15,0,0,0,0,0,1,false,0,27,27,27,18,18,9,0,,,,,,,,,,,,,,,,,,,,,
2014,MI-517,108,78,78,0,10,7,68,40,116,87,87,32,99,17,57,57,57,,11,40,17,0,0,0,0,0,0,false,0,46,46,46,9,26,20,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2015,MI-517,108,78,78,0,10,2,68,40,93,80,80,25,80,13,64,64,64,,12,43,21,0,0,0,0,0,0,false,0,30,30,28,3,9,21,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2016,MI-517,108,78,78,0,10,2,68,40,97,74,74,25,83,14,75,75,75,,15,53,22,0,0,0,0,0,0,false,0,5,5,5,0,0,5,0,false,false,375,375,0,77,292,83,0,,,,,,,,,,,,
2017,MI-517,108,78,78,0,10,2,68,40,88,81,81,23,74,14,108,108,100,49,18,72,36,0,0,0,0,0,0,false,0,53,53,53,10,41,12,0,false,false,380,380,0,79,295,85,0,0,0,0,0,0,0,2,0,8,0,0,0
2018,MI-517,108,78,78,0,10,2,68,40,0,0,0,0,0,0,99,99,95,99,18,63,36,0,0,0,0,0,0,false,0,66,66,66,15,52,14,0,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,4,0,0,0
2007,MI-518,36,16,16,9,2,8,23,13,36,13,13,10,31,5,6,6,6,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,MI-518,36,36,16,9,1,8,23,13,57,57,34,15,44,13,13,13,13,1,0,0,13,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,MI-518,36,36,16,9,1,8,23,13,57,57,34,15,44,13,13,13,13,1,0,0,13,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,MI-518,36,16,16,9,1,8,23,13,58,34,34,15,45,13,13,13,13,1,0,0,13,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,MI-518,41,21,11,11,7,13,34,7,63,34,17,20,54,9,21,21,21,3,2,5,16,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,MI-518,47,27,27,12,0,30,47,0,52,21,21,30,52,0,22,22,12,4,12,12,10,0,0,0,0,0,0,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,MI-518,37,17,17,0,0,20,37,0,54,23,11,20,42,12,24,24,24,6,14,14,10,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
2014,MI-518,38,18,18,0,20,15,28,0,61,30,30,16,38,23,23,23,23,,13,13,10,0,0,0,0,10,0,false,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2015,MI-518,52,32,18,0,6,29,42,0,55,29,25,15,41,14,24,24,23,,14,14,10,0,0,0,0,10,0,false,0,0,0,0,0,0,0,0,false,false,184,184,0,38,145,39,0,,,,,,,,,,,,
2016,MI-518,38,18,18,12,0,11,24,4,54,25,25,10,35,11,25,25,25,,2,5,20,0,0,0,0,10,8,false,0,9,9,8,2,5,4,0,false,false,229,229,0,50,175,54,0,,,,,,,,,,,,
2017,MI-518,36,16,16,17,0,9,24,3,52,23,23,8,29,15,43,43,34,36,6,21,22,0,0,0,0,9,8,false,0,10,10,7,2,4,6,0,false,false,213,213,0,57,142,71,0,0,9,0,8,0,0,5,0,6,0,0,0
2018,MI-518,25,18,18,19,0,4,10,6,45,22,22,8,23,15,24,24,17,18,1,2,22,0,0,0,0,9,7,false,0,23,23,23,5,11,12,0,false,false,0,0,0,0,0,0,0,0,9,0,7,0,0,19,0,6,0,0,0
2007,MI-519,147,147,147,9,0,18,67,80,293,293,224,82,264,29,64,64,64,0,9,18,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,MI-519,159,144,144,0,10,10,61,98,331,265,265,73,274,57,164,164,164,2,33,106,58,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,MI-519,169,134,134,0,10,19,54,115,257,191,191,69,192,65,201,201,201,8,40,130,71,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,MI-519,158,138,138,0,10,16,58,100,275,183,183,66,221,54,201,201,201,8,40,130,71,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,MI-519,158,138,138,0,10,35,70,88,252,171,171,60,203,49,273,273,273,10,53,171,102,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,MI-519,158,138,138,0,10,36,70,88,234,148,148,53,186,48,253,253,253,8,49,157,96,0,0,0,0,0,0,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,MI-519,158,138,138,0,10,36,76,82,214,148,144,52,168,46,105,105,99,2,15,36,69,0,0,0,0,0,0,false,0,8,8,8,2,7,1,0,,,,,,,,,,,,,,,,,,,,,
2014,MI-519,160,140,140,0,10,37,78,82,211,145,145,50,164,47,101,101,101,,15,36,65,0,0,0,0,0,0,false,0,5,5,5,0,0,5,0,false,false,5,5,5,0,0,5,0,,,,,,,,,,,,
2015,MI-519,162,142,142,0,10,19,66,96,233,173,173,50,178,55,103,103,100,,15,39,64,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,false,false,173,173,173,39,134,39,0,,,,,,,,,,,,
2016,MI-519,147,127,127,0,10,18,61,86,227,170,160,50,166,61,108,108,103,,16,44,64,0,0,0,0,0,0,false,0,25,25,25,3,18,7,0,false,false,112,112,112,17,57,55,0,,,,,,,,,,,,
2017,MI-519,138,127,127,0,25,13,47,91,221,195,195,44,160,61,109,109,109,63,17,48,61,0,0,0,0,0,0,false,0,23,5,5,5,19,4,0,false,false,398,398,0,88,309,89,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,MI-519,141,125,125,0,44,17,60,81,125,116,102,21,60,65,127,127,127,47,23,66,61,0,0,0,0,0,0,false,0,122,93,93,33,110,12,0,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,MI-521,21,14,14,0,0,5,19,2,21,11,11,5,21,0,11,11,6,0,1,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,MI-522,58,35,25,0,5,11,25,33,33,0,0,12,33,0,11,0,0,0,2,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,MI-522,58,35,25,0,0,11,27,31,107,51,51,31,107,0,103,92,92,8,21,62,41,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,MI-523,42,-3,42,0,3,9,42,0,75,58,75,12,74,1,10,10,10,4,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,MI-523,46,-2,1,0,4,11,45,1,84,58,47,12,83,1,10,10,10,4,0,0,10,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,MI-523,34,-5,0,0,22,8,34,0,77,58,58,14,76,1,6,6,6,4,0,0,6,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,MI-523,42,32,32,0,0,8,38,4,83,61,61,14,78,5,9,9,9,4,0,0,9,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,MI-523,56,45,45,10,2,17,54,2,80,61,61,14,77,3,69,69,69,11,17,55,14,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,MI-523,56,45,45,0,2,15,54,2,80,61,61,14,77,3,10,10,10,4,1,4,6,0,0,0,0,0,0,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,MI-523,43,32,32,0,17,10,42,1,77,58,58,14,77,0,11,11,11,0,2,5,6,0,0,0,0,0,0,false,0,28,28,28,9,24,4,0,,,,,,,,,,,,,,,,,,,,,
2014,MI-523,69,56,56,0,0,16,68,1,78,58,58,23,77,1,15,15,15,,3,8,7,0,0,0,0,0,0,false,0,7,7,7,3,7,0,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2015,MI-523,42,30,30,0,6,10,40,2,94,58,58,19,93,1,13,13,13,,3,7,6,0,0,0,0,0,0,false,0,53,53,53,23,46,7,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2016,MI-523,36,24,21,0,0,8,31,5,94,58,58,19,93,1,259,259,15,,55,193,66,0,0,0,0,0,0,false,0,26,26,26,5,18,8,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2017,MI-523,47,35,35,0,0,10,44,3,92,56,56,18,91,1,21,21,21,21,3,7,14,0,0,0,0,0,0,false,0,24,24,24,6,17,7,0,false,false,252,252,0,48,185,67,0,0,0,0,0,0,0,3,0,0,0,0,0
2018,MI-523,48,32,32,0,0,12,48,0,94,58,58,18,93,1,45,45,17,45,9,28,17,0,0,0,0,0,0,false,0,30,30,30,9,27,3,0,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,MI-524,19,4,4,0,0,0,0,19,14,14,6,1,2,12,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,MN-500,1907,1772,630,0,0,306,1082,825,1250,1211,960,260,914,336,2646,2646,1476,475,363,1261,1385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,MN-500,1910,1775,1318,0,0,304,1082,828,1171,1132,976,228,826,345,2951,2951,1921,468,414,1454,1497,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,MN-500,1950,1800,1332,0,553,272,1090,860,1225,1186,1031,243,861,364,3206,3206,2133,522,458,1652,1554,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,MN-500,1941,1791,1336,0,500,271,1087,854,1471,1432,926,302,1124,347,3882,3882,2545,639,554,2079,1803,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,MN-500,2068,1918,1297,0,615,451,1279,789,1120,1081,754,293,823,297,4100,4064,2538,941,683,2182,1918,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,MN-500,1984,1790,1343,0,374,394,1180,804,1124,1099,773,315,827,297,4487,4451,2839,1343,630,2085,2396,0,0,0,0,0,0,false,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,MN-500,2006,1812,1612,100,332,410,1203,803,1062,1037,619,287,736,326,4513,4477,2603,1653,537,1705,2791,0,0,0,0,0,0,false,17,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
2014,MN-500,2145,1977,1927,100,425,257,1205,923,1069,1030,648,254,669,379,5348,5312,2926,,584,1914,3374,0,0,0,0,17,21,false,60,1472,1472,1472,425,1396,67,9,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2015,MN-500,1551,1383,1333,100,262,165,629,904,1474,1435,1141,278,1070,381,6148,6080,3418,,779,2620,3478,0,0,0,0,18,23,false,50,2177,2177,2177,714,1970,202,5,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2016,MN-500,1615,1447,1447,100,212,167,613,989,1367,1301,1173,241,1016,327,6025,5967,3569,,751,2429,3551,0,0,0,0,13,24,false,45,1057,1057,1047,267,915,142,0,false,false,16,16,16,0,0,16,0,,,,,,,,,,,,
2017,MN-500,1650,1482,1472,100,128,164,631,996,1244,1178,1015,258,926,253,4954,4922,2707,514,539,1776,3173,0,0,0,0,23,65,false,5,1230,1230,1230,341,1049,181,0,false,false,1291,1269,1052,223,897,394,0,0,65,79,173,0,0,12,269,371,154,45,19
2018,MN-500,1954,1786,1776,50,26,267,1018,907,794,718,561,153,450,325,4287,4255,3797,895,517,1742,2505,18,18,18,18,29,19,false,40,1166,1166,1166,319,1037,129,0,false,false,3092,3070,2855,359,1391,1701,0,0,66,62,136,0,0,70,154,358,203,47,22
2007,MN-501,537,397,145,0,0,78,211,326,923,923,770,192,634,289,1409,1409,564,300,202,990,419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,MN-501,539,399,141,0,0,77,209,330,818,818,703,182,564,254,1410,1410,1286,366,293,940,470,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,MN-501,553,401,141,0,0,73,219,334,841,841,699,209,609,232,1600,1600,1540,414,333,1055,545,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,MN-501,520,380,141,0,0,60,194,326,840,840,712,198,612,228,1753,1753,1719,427,357,1186,567,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,MN-501,565,411,141,0,0,62,242,323,826,826,683,279,664,162,2038,2038,2014,1098,383,1191,847,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,MN-501,536,427,151,0,0,52,193,338,675,675,594,171,449,207,2106,2106,2098,926,347,1146,951,10,10,10,10,5,19,false,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,MN-501,617,442,164,0,30,70,255,351,763,744,649,200,528,221,2399,2399,2214,987,398,1316,1081,10,10,0,10,11,14,false,2,96,96,96,13,42,54,0,,,,,,,,,,,,,,,,,,,,,
2014,MN-501,732,529,370,0,4,75,281,440,746,724,620,203,539,204,2411,2411,2104,,395,1325,1085,0,0,0,0,11,3,false,1,117,117,117,23,80,37,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2015,MN-501,781,555,179,0,11,84,306,468,584,564,437,129,379,196,2897,2897,2376,,435,1474,1423,0,0,0,0,7,9,false,0,343,343,343,81,233,110,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2016,MN-501,808,604,180,0,40,89,311,477,525,496,365,106,311,186,2891,2891,2293,,454,1378,1511,0,0,0,0,20,28,false,2,424,424,424,120,358,66,0,false,false,18,18,18,3,7,11,0,,,,,,,,,,,,
2017,MN-501,837,657,488,0,1,75,250,570,650,626,287,113,361,276,2414,2414,1883,473,317,1041,1373,0,0,0,0,17,13,false,0,514,514,388,143,414,100,0,false,false,341,329,285,61,200,141,0,1,43,8,80,0,0,49,24,262,37,0,44
2018,MN-501,859,669,464,68,2,82,259,589,609,569,243,115,376,220,2753,2753,2409,547,331,1107,1646,0,0,0,0,11,13,false,0,474,474,348,143,424,50,0,false,false,362,350,306,54,191,171,0,0,32,14,57,0,0,18,53,313,42,0,69
2007,MN-502,189,106,44,24,13,32,105,84,292,219,192,73,249,43,386,386,136,41,77,264,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,MN-502,176,100,61,24,5,29,109,67,289,216,216,74,246,43,469,469,469,63,90,294,175,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,MN-502,189,103,55,23,24,29,127,62,279,208,208,62,244,35,520,520,520,131,98,317,203,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,MN-502,180,107,64,23,18,34,130,50,238,152,144,58,221,17,392,392,392,103,76,228,164,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,MN-502,197,122,77,23,31,35,143,54,173,117,117,40,162,11,413,413,413,256,71,207,206,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,MN-502,211,130,61,23,26,34,141,67,197,142,123,43,178,19,403,403,403,151,60,172,231,0,0,0,0,3,0,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,MN-502,252,176,38,23,12,38,169,83,213,154,137,50,194,19,382,382,382,249,68,188,194,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
2014,MN-502,256,185,100,36,13,41,175,81,264,166,137,82,243,21,458,458,454,,78,204,254,0,0,0,0,0,0,false,0,2,2,2,1,2,0,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2015,MN-502,246,167,96,23,5,42,179,67,221,165,160,61,206,15,439,439,433,,64,204,235,0,0,0,0,0,0,false,0,34,34,34,10,34,0,0,false,false,83,83,60,17,55,28,0,,,,,,,,,,,,
2016,MN-502,250,175,120,23,8,44,168,82,241,195,195,59,214,27,422,422,412,,83,222,200,0,0,0,0,0,0,false,0,84,80,80,23,73,11,0,false,false,188,188,154,36,100,88,0,,,,,,,,,,,,
2017,MN-502,182,127,94,23,0,39,142,40,320,285,269,60,179,121,533,533,499,218,94,295,236,0,0,0,0,0,20,false,2,62,62,62,28,53,9,0,false,false,206,206,206,40,105,91,10,0,0,0,128,0,0,10,2,53,2,0,25
2018,MN-502,195,136,99,58,7,43,156,39,327,292,276,64,181,126,400,400,366,234,74,231,169,0,0,0,0,0,20,false,0,162,141,141,41,129,33,0,false,false,360,360,360,63,176,174,10,0,0,0,128,0,0,4,1,45,0,0,25
2007,MN-503,94,54,44,0,10,28,71,23,243,243,239,63,211,32,145,145,145,34,29,63,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,MN-503,139,80,60,0,5,28,106,33,449,440,388,121,394,55,297,297,262,22,70,188,109,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,MN-503,165,92,82,0,23,39,121,44,364,364,351,99,319,45,342,342,342,27,88,224,118,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,MN-503,142,69,56,0,9,31,100,42,314,314,314,99,281,33,388,388,388,29,99,257,131,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,MN-503,196,97,68,0,52,43,141,55,402,402,382,120,343,59,530,530,485,80,138,335,195,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
